Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-01-05,2.9907,2.9907,2.9907,2.9907,370
2005-01-07,3.0041,3.0041,3.0041,3.0041,169
2005-01-14,2.9907,2.9907,2.9732,2.9732,1704
2005-01-17,2.9732,2.9732,2.9732,2.9732,4547
2005-01-18,2.9907,2.9907,2.9907,2.9907,694
2005-01-24,2.9732,2.9907,2.9732,2.9907,766
2005-01-31,2.9907,2.9907,2.9907,2.9907,98
2005-02-07,2.9732,2.9732,2.9732,2.9732,364
2005-02-08,2.9732,2.9732,2.9732,2.9732,861
2005-02-09,2.9732,2.9732,2.9732,2.9732,602
2005-02-10,2.9732,2.9732,2.9732,2.9732,228
2005-02-11,2.9732,2.9732,2.9732,2.9732,241
2005-02-15,2.9732,2.9732,2.9732,2.9732,919
2005-02-16,2.9732,3.1051,2.9732,3.1051,4502
2005-02-18,2.9907,2.9907,2.9907,2.9907,1000
2005-02-22,2.9907,2.9907,2.9732,2.9732,3821
2005-02-23,2.9732,2.9732,2.9732,2.9732,470
2005-02-28,2.9732,2.9732,2.9732,2.9732,562
2005-03-07,3.0569,3.0569,3.0569,3.0569,3411
2005-03-08,3.0569,3.0569,2.938,2.938,2021
2005-03-09,3.0216,3.0216,3.0216,3.0216,157
2005-03-10,3.0041,3.0041,3.0041,3.0041,558
2005-03-11,2.9732,2.9732,2.9732,2.9732,55
2005-03-14,3.0392,3.0392,3.0392,3.0392,453
2005-03-15,2.8414,2.8414,2.8061,2.8061,3411
2005-03-16,2.9732,2.9732,2.9732,2.9732,796
2005-03-17,2.9732,2.9732,2.9732,2.9732,342
2005-03-28,2.8061,2.8236,2.8061,2.8236,1872
2005-03-29,2.8061,2.8061,2.8061,2.8061,1432
2005-03-31,2.7753,2.7753,2.7753,2.7753,617
2005-04-04,2.74,2.74,2.74,2.74,1933
2005-04-06,2.8588,2.8588,2.8588,2.8588,1593
2005-04-07,2.8588,2.8588,2.8588,2.8588,906
2005-04-08,2.7269,2.7269,2.7269,2.7269,209
2005-04-12,2.7269,2.7269,2.7269,2.7269,342
2005-04-13,2.7269,2.7269,2.7269,2.7269,2038
2005-04-15,2.7269,2.74,2.7269,2.74,1907
2005-04-22,2.595,2.595,2.5773,2.5773,1774
2005-04-25,2.8061,2.8061,2.8061,2.8061,228
2005-04-26,2.4763,2.4763,2.4763,2.4763,78
2005-04-27,2.8061,2.8414,2.4763,2.4763,6252
2005-04-28,2.8061,2.8414,2.8061,2.8414,2047
2005-04-29,2.8061,2.8588,2.8061,2.8588,2502
2005-05-03,2.8588,2.8588,2.8588,2.8588,22
2005-05-06,2.6434,2.6434,2.6434,2.6434,92
2005-05-10,2.6434,2.6434,2.5598,2.5598,2646
2005-05-18,2.6742,2.6742,2.6742,2.6742,3863
2005-05-20,2.7753,2.7753,2.529,2.529,692
2005-05-25,2.4938,2.4938,2.4763,2.4763,3295
2005-05-27,2.7269,2.7269,2.7269,2.7269,24
2005-05-30,2.7094,2.7094,2.6918,2.6918,2256
2005-05-31,2.4763,2.6434,2.4763,2.6434,4206
2005-06-01,3.0041,3.0392,2.9907,3.0392,3880
2005-06-02,3.0392,3.0392,2.9732,2.9732,3186
2005-06-03,2.9732,2.9732,2.9732,2.9732,362
2005-06-07,3.2195,3.303,3.2195,3.303,796
2005-06-08,3.0569,3.0569,3.0569,3.0569,116
2005-06-09,3.07,3.2721,3.07,3.2721,862
2005-06-10,3.2721,3.303,3.2721,3.303,1638
2005-06-13,3.0569,3.0569,3.0569,3.0569,90
2005-06-14,3.4703,3.4833,3.3867,3.3867,2952
2005-06-17,2.9732,3.4703,2.9732,3.4703,1947
2005-06-20,3.4703,3.4703,3.4703,3.4703,453
